x=1.43853333333, y=-0.0326233942655, yaw=1.55392695379
x=1.44093333333, y=-0.0335567275989, yaw=1.57034397585
x=1.44337126671, y=-0.0349887602430, yaw=1.55976156588
x=1.44293333333, y=-0.0373567275989, yaw=1.54068868126
x=1.44060956202, y=-0.0382463939327, yaw=1.54207760898
x=1.44426666667, y=-0.0388900609322, yaw=1.56069397476
x=1.44386666667, y=-0.0387567275989, yaw=1.55568583849
x=1.44326666667, y=-0.0428900609322, yaw=1.55131532361
x=1.44333333333, y=-0.0453067275989, yaw=1.56371793796
x=1.44399638039, y=-0.0478230642406, yaw=1.56706589076
x=1.44406666667, y=-0.0445567275989, yaw=1.54581984332
x=1.44373333333, y=-0.0475567275989, yaw=1.54591746236
x=1.44240000000, y=-0.0499567275989, yaw=1.55745061344
x=1.44185185185, y=-0.0484085794507, yaw=1.55286786965
x=1.44320000000, y=-0.0576233942655, yaw=1.54227134664
x=1.44286666667, y=-0.0572900609322, yaw=1.54921984879
x=1.44373333333, y=-0.0576233942655, yaw=1.54372846997
x=1.44344814931, y=-0.0542880187552, yaw=1.55550971004
x=1.44306666667, y=-0.0614900609322, yaw=1.54382970498
x=1.44481481481, y=-0.0624085794507, yaw=1.53656477823

avg: x=1.44291460125, y=-0.0465820457895, yaw=1.55192286994
deviation: x=1.11022302463e-17, y=4.51028103754e-18, yaw=3.21964677141e-16
